age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
55,Local-gov,84564,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,<=50K,3025,4651020,825,0,0,2145,-1438864496,1268460,0,0,3297996,225,0,0,585,0,0,0,0,0,1521,Divorced,10.82,15.09
56,Self-emp-not-inc,175964,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,3136,9853984,560,0,0,2240,898558224,1759640,0,0,7038560,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
52,Private,48947,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,2704,2545244,520,0,0,2340,-1899158487,489470,0,0,2202615,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
45,Private,177543,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,28,United-States,<=50K,2025,7989435,405,0,0,1260,1456745777,1597887,0,0,4971204,81,0,0,252,0,0,0,0,0,784,Divorced,10.82,15.09
26,State-gov,177035,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,676,4602910,182,0,0,1040,1276620153,1239245,0,0,7081400,49,0,0,280,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Private,272910,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,1764,11462220,378,0,0,1680,1465424068,2456190,0,0,10916400,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
41,Private,200671,Bachelors,13,Divorced,Transport-moving,Own-child,Black,Male,6497,0,40,United-States,<=50K,1681,8227511,533,266377,0,1640,1614144577,2608723,1303759487,0,8026840,169,84461,0,520,42211009,0,259880,0,0,1600,Divorced,10.82,15.09
30,Private,133602,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,900,4008060,390,0,0,1200,669625220,1736826,0,0,5344080,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
44,Private,121012,9th,5,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1936,5324528,220,0,0,1760,1759002256,605060,0,0,4840480,25,0,0,200,0,0,0,0,0,1600,Divorced,10.82,15.09
39,Private,119272,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,1521,4651608,234,0,0,1560,1340908096,715632,0,0,4770880,36,0,0,240,0,0,0,0,0,1600,Divorced,10.82,15.09
